"mpg","horsepower"
18,130
15,165
18,150
16,150
17,140
15,198
14,220
14,215
14,225
15,190
15,170
14,160
15,150
14,225
24,95
22,95
18,97
21,85
27,88
26,46
25,87
24,90
25,95
26,113
21,90
10,215
10,200
11,210
9,193
27,88
28,90
25,95
19,100
16,105
17,100
19,88
18,100
14,165
14,175
14,153
14,150
12,180
13,170
13,175
18,110
22,72
19,100
18,88
23,86
28,90
30,70
30,76
31,65
35,69
27,60
26,70
24,95
25,80
23,54
20,90
21,86
13,165
14,175
15,150
14,153
17,150
11,208
13,155
12,160
13,190
19,97
15,150
13,130
13,140
14,150
18,112
22,76
21,87
26,69
22,86
28,92
23,97
28,80
27,88
13,175
14,150
13,145
14,137
15,150
12,198
13,150
13,158
14,150
13,215
12,225
13,175
18,105
16,100
18,100
18,88
23,95
26,46
11,150
12,167
13,170
12,180
18,100
20,88
21,72
22,94
18,90
19,85
21,107
26,90
15,145
16,230
29,49
24,75
20,91
19,112
15,150
24,110
20,122
11,180
20,95
19,100
15,100
31,67
26,80
32,65
25,75
16,100
16,110
18,105
16,140
13,150
14,150
14,140
14,150
29,83
26,67
26,78
31,52
32,61
28,75
24,75
26,75
24,97
26,93
31,67
19,95
18,105
15,72
15,72
16,170
15,145
16,150
14,148
17,110
16,105
15,110
18,95
21,110
20,110
13,129
29,75
23,83
20,100
23,78
24,96
25,71
24,97
18,97
29,70
19,90
23,95
23,88
22,98
25,115
33,53
28,86
25,81
25,92
26,79
27,83
17.5,140
16,150
15.5,120
14.5,152
22,100
22,105
24,81
22.5,90
29,52
24.5,60
29,70
33,53
20,100
18,78
18.5,110
17.5,95
29.5,71
32,70
28,75
26.5,72
20,102
13,150
19,88
19,108
16.5,120
16.5,180
13,145
13,130
13,150
31.5,68
30,80
36,58
25.5,96
33.5,70
17.5,145
17,110
15.5,145
15,130
17.5,110
20.5,105
19,100
18.5,98
16,180
15.5,170
15.5,190
16,149
29,78
24.5,88
26,75
25.5,89
30.5,63
33.5,83
30,67
30.5,78
22,97
21.5,110
21.5,110
43.1,48
36.1,66
32.8,52
39.4,70
36.1,60
19.9,110
19.4,140
20.2,139
19.2,105
20.5,95
20.2,85
25.1,88
20.5,100
19.4,90
20.6,105
20.8,85
18.6,110
18.1,120
19.2,145
17.7,165
18.1,139
17.5,140
30,68
27.5,95
27.2,97
30.9,75
21.1,95
23.2,105
23.8,85
23.9,97
20.3,103
17,125
21.6,115
16.2,133
31.5,71
29.5,68
21.5,115
19.8,85
22.3,88
20.2,90
20.6,110
17,130
17.6,129
16.5,138
18.2,135
16.9,155
15.5,142
19.2,125
18.5,150
31.9,71
34.1,65
35.7,80
27.4,80
25.4,77
23,125
27.2,71
23.9,90
34.2,70
34.5,70
31.8,65
37.3,69
28.4,90
28.8,115
26.8,115
33.5,90
41.5,76
38.1,60
32.1,70
37.2,65
28,90
26.4,88
24.3,90
19.1,90
34.3,78
29.8,90
31.3,75
37,92
32.2,75
46.6,65
27.9,105
40.8,65
44.3,48
43.4,48
36.4,67
30,67
44.6,67
33.8,67
29.8,62
32.7,132
23.7,100
35,88
32.4,72
27.2,84
26.6,84
25.8,92
23.5,110
30,84
39.1,58
39,64
35.1,60
32.3,67
37,65
37.7,62
34.1,68
34.7,63
34.4,65
29.9,65
33,74
33.7,75
32.4,75
32.9,100
31.6,74
28.1,80
30.7,76
25.4,116
24.2,120
22.4,110
26.6,105
20.2,88
17.6,85
28,88
27,88
34,88
31,85
29,84
27,90
24,92
36,74
37,68
31,68
38,63
36,70
36,88
36,75
34,70
38,67
32,67
38,67
25,110
38,85
26,92
22,112
32,96
36,84
27,90
27,86
44,52
32,84
28,79
31,82
